customer_id,anciennete_mois,type_contrat,facture_mensuelle,facture_totale,nb_tickets_support,moyen_paiement,support_premium,age,churned
C100000,15,mensuel,44.75,634.09,2,carte,0,20,1
C100001,65,annuel,70.51,4781.16,2,cheque,0,55,0
C100002,21,annuel,50.62,989.77,5,virement,0,42,0
C100003,34,annuel,85.68,2934.23,8,cheque,0,36,0
C100004,47,annuel,83.41,3564.17,0,virement,1,72,0
C100005,36,mensuel,95.07,3191.61,0,virement,1,61,0
C100006,22,mensuel,42.03,917.68,0,prelevement,0,71,1
C100007,5,annuel,56.1,256.16,4,virement,0,49,0
C100008,59,mensuel,32.57,2015.79,1,cheque,1,43,0
C100009,18,mensuel,28.18,461.3,0,prelevement,1,45,0
C100010,60,mensuel,107.4,6908.97,0,carte,0,52,0
C100011,44,mensuel,59.13,2577.64,5,virement,1,66,0
C100012,39,annuel,65.69,2407.64,0,prelevement,0,67,0
C100013,42,mensuel,30.07,1228.33,8,virement,0,33,0
C100014,11,annuel,93.44,1126.1,1,prelevement,0,48,1
C100015,68,biennal,58.08,3721.79,1,prelevement,1,43,0
C100016,57,biennal,60.63,3281.67,0,carte,0,32,1
C100017,8,mensuel,101.49,870.32,0,prelevement,0,49,1
C100018,61,mensuel,62.57,3745.82,0,cheque,0,44,0
C100019,13,mensuel,85.54,1178.87,0,prelevement,0,46,1
C100020,60,mensuel,103.09,6115.05,3,carte,0,52,0
C100021,31,mensuel,63.71,1861.94,1,carte,0,18,1
C100022,59,mensuel,82.69,5103.62,2,cheque,0,36,1
C100023,70,mensuel,48.22,3071.71,1,prelevement,0,50,1
C100024,9,annuel,41.17,342.36,4,prelevement,0,20,0
C100025,67,mensuel,43.47,3011.36,0,virement,0,60,0
C100026,10,mensuel,75.9,768.56,0,prelevement,0,26,0
C100027,32,mensuel,34.2,1167.45,2,carte,0,53,0
C100028,18,mensuel,100.07,1888.59,0,virement,0,63,0
C100029,34,mensuel,42.6,1566.64,0,cheque,1,20,0
C100030,34,mensuel,59.77,2115.77,1,carte,0,74,1
C100031,5,annuel,72.43,336.66,0,virement,0,77,0
C100032,46,mensuel,42.46,1798.0,2,cheque,1,65,0
C100033,21,biennal,92.97,2101.3,0,virement,1,44,0
C100034,32,mensuel,90.86,2679.63,3,cheque,0,70,1
C100035,30,mensuel,79.4,2333.63,0,carte,1,35,0
C100036,69,mensuel,22.48,1668.09,0,virement,0,56,0
C100037,41,mensuel,108.58,4109.57,4,prelevement,0,63,1
C100038,69,annuel,104.62,7561.0,0,cheque,0,60,0
C100039,16,annuel,47.03,723.78,1,cheque,0,53,0
C100040,49,annuel,101.25,5075.87,0,carte,0,31,0
C100041,42,mensuel,59.79,2367.39,1,prelevement,0,36,0
C100042,43,mensuel,105.68,4303.28,0,prelevement,0,20,0
C100043,10,mensuel,99.75,1012.6,2,cheque,0,33,0
C100044,14,annuel,39.7,589.6,2,cheque,0,33,1
C100045,18,annuel,80.08,1582.09,1,cheque,0,64,0
C100046,71,mensuel,34.32,2612.89,1,prelevement,1,35,0
C100047,31,mensuel,26.97,800.24,0,virement,1,23,0
C100048,20,annuel,25.78,506.07,1,cheque,0,71,0
C100049,3,biennal,88.9,260.32,0,virement,0,42,0
C100050,54,mensuel,86.12,4929.39,4,cheque,0,45,1
C100051,52,annuel,95.65,5391.14,8,carte,1,55,1
C100052,55,mensuel,61.55,3080.77,0,prelevement,0,39,0
C100053,54,mensuel,27.37,1335.91,1,virement,0,22,0
C100054,4,biennal,37.94,137.2,0,prelevement,0,25,1
C100055,33,annuel,35.1,1183.14,2,carte,1,28,0
C100056,4,biennal,71.82,310.72,0,prelevement,0,62,1
C100057,39,biennal,74.04,2668.71,8,carte,0,45,1
C100058,44,mensuel,57.81,2538.66,1,virement,0,71,1
C100059,23,annuel,106.89,2345.42,3,cheque,0,70,1
C100060,32,annuel,27.8,957.5,0,cheque,0,60,1
C100061,42,mensuel,39.09,1739.58,0,virement,0,51,1
C100062,53,mensuel,88.23,4854.46,1,cheque,0,19,1
C100063,32,mensuel,72.34,2302.5,1,cheque,1,53,0
C100064,35,mensuel,40.75,1489.37,0,prelevement,0,65,0
C100065,68,annuel,108.25,7850.7,0,virement,0,18,1
C100066,6,biennal,69.8,435.34,0,cheque,0,18,0
C100067,57,mensuel,106.89,5791.11,3,carte,1,43,0
C100068,7,mensuel,93.0,709.48,0,prelevement,0,66,0
